accession	human_gene_name	clade	subclade	zf_domains	other_domains	human_chr	branch_added	species	species_order	species_family	species_genus	chimpanzee	orangutan	macaque	baboon	marmoset	basal Primate	non-Primate	human gene status (transcript support, Gencode status, other notes)
NM_003434	ZNF133			14	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_003435	ZNF134			10	cK	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present hand-assembled	present	present	present	present	present	validated, KRAB in genome but not in transcripts
NM_007134	ZNF135			16	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_003437	ZNF136			13	K	19.3	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	absent	present	present	present	absent	well validated
NM_006524	ZNF138			2	K	7.3	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	absent inc TA and syntenic DNA	present	present	present	absent inc TA	absent	absent	well validated, KRAB missing from Ensembl gene model, only 2 canonical ZF
NM_021030	ZNF14	cladeI		17	K	19.4	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	absent	well validated
NM_003440	ZNF140			10	K	12.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001085384	ZNF154			10	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_003445	ZNF155			11	K	19.8	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_003446	ZNF157			12	K	X.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_033288	ZNF160			20	K	19.9	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	absent	well validated
NM_003448	ZNF169			11	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	present	present	well validated
NM_001330617	ZNF17			18	K	19.12	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_007147	ZNF175			13	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001172651	ZNF177			7	K	19.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_013256	ZNF180			12	K	19.8		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001029997	ZNF181			11	K	19.5		Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_003452	ZNF189			16	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_006961	ZNF19			9	K	16.5		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001130520	ZNF195			9	K	solo	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_021143	ZNF20			11	K	19.3	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_003456	ZNF205			8	K	16.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_007153	ZNF208			36	K	19.4	Hominoid/Hominid	Homo_sapiens	Primates	Hominidae	Homo	present	present hand-assembled	prob absent inc TA	absent inc TA	absent	absent	absent	very weakly validated, gene models have several introns in ZF exon, possible pseudogene
NM_006962	ZNF21			14	K	X.3		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_006385	ZNF211			11	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_012256	ZNF212			4	K	7.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001354830	ZNF214			10	K	11.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_013359	ZNF221			15	K	19.8	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	present	absent	validated
NM_001129996	ZNF222			8	K	19.8	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	absent	absent	well validated
NM_013361	ZNF223			8	K	19.8	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present hand-assembled	present	present	present	absent	absent	well validated
NM_013398	ZNF224			18	K	19.8	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	prob present	absent	well validated
NM_013362	ZNF225			17	K	19.8	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	prob present	absent	well validated
NM_001032372	ZNF226			17	K	19.8		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001289166	ZNF227			18	K	19.8		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_014518	ZNF229			16	K	19.8		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	present	present	validated
NM_145911	ZNF23			16	K	16.5		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_006300	ZNF230			7	K	19.8	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_181756	ZNF233			7	K	19.8		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	present	present	validated
NM_006630	ZNF234			18	K	19.8		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_004234	ZNF235			15	K	19.8		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_005674	ZNF239			9	cK	10.3		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated, genomic KRAB out of frame in gene models
NM_021045	ZNF248			7	K	10.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001329647	ZNF25			12	K	10.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	present	present	well validated
NM_021061	ZNF250			13	K	8.3		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_138367	ZNF251			12	K	8.3		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	partially validated
NR_023392	ZNF252			8	K	8.3		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	present	present	validated but exact structure not clear
NM_021047	ZNF253			11	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_001278677	ZNF254			13	K	19.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	absent	absent	well validated
NM_005773	ZNF256			15	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_033468	ZNF257			11	K	19.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	prob present hand-assembled	absent	absent	validated
NM_001256279	ZNF26			13	K	12.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_003417	ZNF264			13	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_006631	ZNF266			12	cK	19.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated, genomic KRAB present in some transcripts but no gene models
NM_003414	ZNF267			13	K	16.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_003415	ZNF268			4	K	12.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_006635	ZNF460			11	K	19.12	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	prob present	absent	well validated
NM_021148	ZNF273			10	K	7.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_001367757	ZNF275			11	K	X.5		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_006969	ZNF28			15	K	19.9	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present hand-assembled	absent inc TA	absent inc TA	absent	absent	validated, many ESTs support LLNL KRAB model
NM_003575	ZNF282			5	K	7.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_181845	ZNF283			15	K	19.8		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_001037813	ZNF284			11	K	19.8	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	prob absent	absent	well validated
NM_001291488	ZNF285			10	K	19.8		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_020652	ZNF286A			10	K	solo		Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_017715	ZNF3			8	K	7.5		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001099438	ZNF30			16	K	19.5		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	present	well validated
NM_018443	ZNF302			7	K	19.5		Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_001290318	ZNF304			15	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_001010877	ZNF311			13	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_020933	ZNF317			13	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_207333	ZNF320			11	K	19.9	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	prob absent inc TA	absent inc TA	absent	absent	validated
NM_014347	ZNF324A			9	K	19.12		Homo_sapiens	Primates	Hominidae	Homo								validated
NM_207395	ZNF324B			9	K	19.12		Homo_sapiens	Primates	Hominidae	Homo								validated
NM_018555	ZNF331			12	K	19.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_032433	ZNF333			10	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_018102	ZNF334			14	K	20.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001290261	ZNF337			18	K	solo	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	absent	absent	well validated
NM_006954	ZNF33A			16	K	10.1	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	absent	absent	well validated
NM_001305033	ZNF33B			16	K	10.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_030580	ZNF34			12	K	8.3		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_024325	ZNF343			12	K	solo	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	prob absent	absent	well validated
NM_003419	ZNF345			15	cK	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_001172674	ZNF347			17	K	19.9	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_021632	ZNF350			8	K	19.9		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001007094	ZNF37A			10	K	10.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NR_026777	ZNF37B pseudogene			NA	K	10.2		Homo_sapiens	Primates	Hominidae	Homo								Gencode manual and RefSeq pseudogene
NM_032825	ZNF382			9	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_001345949	ZNF383			11	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_170686	ZNF398			6	K	7.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001033719	ZNF404			14	K	19.8		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	present	validated
NM_007130	ZNF41			17	K	X.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001136038	ZNF415			11	K	19.9	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	prob present	absent	well validated
NM_017879	ZNF416			11	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_152475	ZNF417			12	K	19.12		Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_001317027	ZNF418			16	K	19.12	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_001098491	ZNF419			11	K	19.12	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_001329515	ZNF420			19	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001001661	ZNF425			19	K	7.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_024106	ZNF426			11	K	19.2		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001001415	ZNF429			15	K	19.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	absent inc TA	present hand-assembled	absent	absent	well validated
NM_001256648	ZNF43			19	K	19.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_025189	ZNF430			11	K	19.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	absent inc TA	present	absent	absent	well validated
NM_001319124	ZNF431			12	K	19.4	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	absent	absent	validated
NM_014650	ZNF432			16	K	19.9		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001080411	ZNF433			18	K	19.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	validated
NM_001348718	ZNF439			10	K	19.3	Hominoid/Hominid	Homo_sapiens	Primates	Hominidae	Homo	present	present	absent inc TA and syntenic DNA	absent inc TA	absent	absent	absent	validated
NM_001164276	ZNF44			14	K	19.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_152357	ZNF440			9	K	19.3	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_152355	ZNF441			14	K	19.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present hand-assembled	present	present hand-assembled	present	absent	absent	validated
NM_030824	ZNF442			14	K	19.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present hand-assembled	present	present	present	present	absent	absent	well validated
NM_005815	ZNF443			16	K	19.3	Hominoid/Hominid	Homo_sapiens	Primates	Hominidae	Homo	present	present	absent inc TA and syntenic DNA	absent inc TA	absent inc TA	absent	absent	well validated
NM_003425	ZNF45			15	K	19.8		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_153257	ZNF461			10	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001277120	ZNF468			10	K	19.9	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	absent	absent	well validated
NM_001001668	ZNF470			16	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present hand-assembled	present hand-assembled	present	present	present	present	present	validated
NM_020813	ZNF471			14	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_015428	ZNF473			18	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_033273	ZNF479			11	K	7.2		Homo_sapiens	Primates	Hominidae	Homo								validated
NM_144684	ZNF480			10	K	19.9	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	present	prob absent	absent	well validated
NM_031486	ZNF484			15	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001318140	ZNF485			11	K	10.3		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	present	well validated
NM_052852	ZNF486			9	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	absent	absent	validated
NM_020714	ZNF490			13	K	19.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	prob absent	absent	validated
NM_152356	ZNF491			10	cK	19.3	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	absent inc TA	absent inc TA	prob present	absent	validated, genomic KRAB may be present in some transcripts
NM_020855	ZNF492			12	K	19.4		Homo_sapiens	Primates	Hominidae	Homo								validated
NM_175910	ZNF493			18	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present hand-assembled	present	present	present	absent inc TA	absent	absent	well validated
NM_198458	ZNF497			14	cS	19.12	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	validated, SCAN in genome but not in transcripts
NM_001099269	ZNF506			8	K	19.4	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_001314059	ZNF510			9	K	9.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_213605	ZNF517			9	K	8.3		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_145287	ZNF519			9	K	solo	Hominoid/Hominid	Homo_sapiens	Primates	Hominidae	Homo	present	present	absent inc TA and syntenic DNA	absent inc TA	absent inc TA	absent	absent	validated
NM_001348156	ZNF525			8	K	19.1	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	prob present	absent inc TA	absent inc TA	absent	absent	partially validated
NM_032453	ZNF527			11	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_032423	ZNF528			15	K	19.9	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	prob present	absent	absent	well validated
NM_001145649	ZNF529			9	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_020880	ZNF530			13	K	19.12	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present hand-assembled	absent inc TA	prob present	absent	validated
NM_001143938	ZNF534			14	K	19.9	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	validated
NM_001172225	ZNF540			17	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present hand-assembled	present	present	present	absent	present	well validated
NR_033418	ZNF542P			7	cK	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	present	many transcripts but structure unclear, KRAB present in genome
NM_213598	ZNF543			13	K	19.12	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	prob absent	absent	validated
NM_014480	ZNF544			12	K	19.12	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_178544	ZNF546			22	K	19.7		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_173631	ZNF547			10	K	19.12	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	absent	validated
NM_001172773	ZNF548			11	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001199295	ZNF549			11	K	19.12	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	absent	well validated
NM_001277090	ZNF550			8	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_138347	ZNF551			14	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_024762	ZNF552			6	K	19.12	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_001102651	ZNF554			7	K	19.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_152791	ZNF555			15	K	19.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_024967	ZNF556			9	K	19.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	present	present	validated
NM_024341	ZNF557			10	K	solo	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_144693	ZNF558			9	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001202406	ZNF559			9	K	19.2	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_152476	ZNF560			13	KK	19.2	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	validated
NM_152289	ZNF561			8	K	19.2	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	prob absent inc TA	absent	absent	well validated
NM_001130031	ZNF562			6	K	19.2	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present hand-assembled	present	present hand-assembled	absent inc TA	absent	absent	well validated
NM_145276	ZNF563			10	K	19.3	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	absent	well validated
NM_144976	ZNF564			15	K	19.3	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	absent	well validated
NM_001042474	ZNF565			12	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present hand-assembled	present	present	present	present	well validated
NM_001145345	ZNF566			7	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present hand-assembled	present	present	present	present	well validated
NM_001300979	ZNF567			14	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_198539	ZNF568			15	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_152484	ZNF569			18	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_173480	ZNF57			13	K	19.1	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	absent inc TA	absent	absent	well validated
NM_001300993	ZNF570			11	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_001290314	ZNF571			16	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	absent	present	well validated
NM_152360	ZNF573			19	K	19.6		Homo_sapiens	Primates	Hominidae	Homo	present hand-assembled	present	present	present	present	present	present	validated
NM_032679	ZNF577			7	K	19.9		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001099694	ZNF578			10	K	19.9	Hominoid/Hominid	Homo_sapiens	Primates	Hominidae	Homo	present	present	absent inc TA and syntenic DNA	absent inc TA	absent	absent	absent	validated
NM_001320371	ZNF582			9	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_152478	ZNF583			12	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_173548	ZNF584			8	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	validated
NM_152655	ZNF585A			21	K	19.6		Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_152279	ZNF585B			21	K	19.6		Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_017652	ZNF586			8	K	19.12	Simian	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	prob present hand-assembled	absent	absent	well validated
NM_032828	ZNF587			13	K	19.12		Homo_sapiens	Primates	Hominidae	Homo								well validated
NM_001042416	ZNF596			11	K	solo		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_152457	ZNF597			7	K	16.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_001007248	ZNF599			14	K	19.5		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_198457	ZNF600			18	K	19.9	Catarrhine	Homo_sapiens	Primates	Hominidae	Homo	present	present	present hand-assembled	present hand-assembled	absent inc TA	absent	absent	partially validated, one EST supports LLNL KRAB model
NM_183238	ZNF605			17	K	12.1		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_025027	ZNF606			13	K	19.12		Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	present	well validated
NM_032689	ZNF607			18	K	19.6	Basal	Homo_sapiens	Primates	Hominidae	Homo	present	present	present	present	present	present	absent	validated
