taxon	sequenceID	pubmed_id	name	exogenous	locus	isolate	country	collection_year
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316043	KY316043	-	Human betaherpesvirus 6B	false	-	BAN519	United Kingdom: Scotland, Banff	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316044	KY316044	-	Human betaherpesvirus 6B	true	Ch11p	4B-11p15.5	United Kingdom	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316045	KY316045	-	Human betaherpesvirus 6B	false	-	2B-9q34.3	United Kingdom	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316046	KY316046	-	Human betaherpesvirus 6B	false	-	1-ciHHV-6B	United Kingdom	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316050	KY316050	-	Human betaherpesvirus 6B	false	-	GLA_35629	United Kingdom	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316051	KY316051	-	Human betaherpesvirus 6B	false	-	GLA_34108	United Kingdom	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316052	KY316052	-	Human betaherpesvirus 6B	false	-	GLA_29221	United Kingdom	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/KY316053	KY316053	-	Human betaherpesvirus 6B	false	-	GLA_3986	United Kingdom	-
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994814	MF994814	-	Human betaherpesvirus 6B	false	-	ABI-HHV6B	Zaire	1988
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994821	MF994821	-	Human betaherpesvirus 6B	false	-	ENO	Japan	1988
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994823	MF994823	-	Human betaherpesvirus 6B	false	-	HST-CBMC	Japan	1988
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994824	MF994824	-	Human betaherpesvirus 6B	false	-	HST-MT4	Japan	1988
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994825	MF994825	-	Human betaherpesvirus 6B	false	-	KYO	Japan	1988
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994826	MF994826	-	Human betaherpesvirus 6B	false	-	MAR	France	1991
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994827	MF994827	-	Human betaherpesvirus 6B	false	-	NAK	Japan	1988
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MF994829	MF994829	-	Human betaherpesvirus 6B	false	-	Z29	Democratic Republic of the Congo	1988
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MG894368	MG894368	29472617	Human betaherpesvirus 6B	true	Chr19p	iciHG00245	United Kingdom	2011
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MG894369	MG894369	29472617	Human betaherpesvirus 6B	false	-	iciHG00362	Finland	2011
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MG894372	MG894372	29472617	Human betaherpesvirus 6B	false	-	iciHG02016	Viet Nam	2011
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MG894373	MG894373	29472617	Human betaherpesvirus 6B	true	Chr3q	iciHG02301	Peru	2011
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MG894375	MG894375	29472617	Human betaherpesvirus 6B	true	Ch1q	iciNA19381	Kenya	2009
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MG894376	MG894376	29472617	Human betaherpesvirus 6B	true	Ch1q	iciNA19382	Kenya	2009
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MH698398	MH698398	-	Human betaherpesvirus 6B	false	-	GTEX-14C38_icihhv6b	USA	2018
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MH698399	MH698399	-	Human betaherpesvirus 6B	false	-	GTEX-13FLV_icihhv6b	USA	2018
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MH698401	MH698401	-	Human betaherpesvirus 6B	false	-	GTEX-YF7O_icihhv6b	USA	2018
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MH698402	MH698402	-	Human betaherpesvirus 6B	false	-	GTEX-OXRO_icihv6b	USA	2018
alignment/AL_HHV6B/member/ncbi-curated-hhv6b/MN242397	MN242397	-	Human betaherpesvirus 6B	false	-	MOW-F5C	Russia:Moscow	2019
alignment/AL_HHV6B/member/ncbi-refseqs/NC_000898	NC_000898	10482553	Human betaherpesvirus 6B	true	NULL	Z29	Zaire	-
